ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
175,9,-756.44,260.42,-967.87,120,47190,0,문헌1
177,11,-715.38,422.89,-438.79,6,47190,0,문헌1
185,13,211.76,244.12,-1346.69,22,47190,0,문헌1
187,16,1296.55,329.06,-674.73,-2,47190,0,문헌1
188,20,1429,371,908,-7,47190,0,문헌1
211,51,-1400,325,-2214,-90,40001,0,WarpSpot
212,53,1358,372,1740,135,40001,0,WarpSpot
214,58,-1346.7523,325.941,-1724.1285,0,47160,0,행상인이 잃어버린 물건1
218,61,-1053,260,-1249,18,20110,0,광산 마을 연금술사
243,71,126.13282,244.1206,-1149.1661,0,0,0,긴팔 나무
244,72,-955.5981,449.17627,-54.674503,0,0,0,리자드맨
246,73,161.56,479,1048.97,0,0,0,"소서러, 크로노맨서 5차 전직 트리거"
247,74,340.66,277.95,-457.09,-90,0,0,여신 바카리네의 상
261,77,1084.11,329.06,-841.62,0,0,0,인프로 버크
262,77,1069.46,329.06,-1042.34,0,0,0,인프로 버크
263,77,1186.4849,314.20834,-848.1382,0,0,0,인프로 버크
264,77,1327.9454,329.06,-742.05615,0,0,0,인프로 버크
265,77,1473.8298,329.06,-762.02563,0,0,0,인프로 버크
266,77,1558.4606,329.06,-603.60754,0,0,0,인프로 버크
267,77,1084.64,329.06,-1165.15,0,0,0,인프로 버크
268,77,1403.916,329.06,-634.7575,0,0,0,인프로 버크
269,77,1496.7896,329.06,-877.1128,0,0,0,인프로 버크
270,77,1441.1584,329.06,-489.32526,0,0,0,인프로 버크
271,77,1293.1753,313.0656,-1011.2032,0,0,0,인프로 버크
272,77,954.1464,329.06,-922.2721,0,0,0,인프로 버크
273,77,1197.83,313.07,-1043.12,0,0,0,인프로 버크
274,77,1286.96,329.06,-1143.5,0,0,0,인프로 버크
275,77,1454.437,329.06,-1039.8757,0,0,0,인프로 버크
276,77,1402.7262,329.06,-889.3767,0,0,0,인프로 버크
277,78,562.67,277.95,-302.92,-77,0,0,헌터 탈러스
278,79,-78,423,424,-72,0,0,제물 항아리
280,81,346.84,210.37,-876.25,0,0,0,물풀
281,81,244.42,210.37,-814.28,0,0,0,물풀
282,81,130.74,210.37,-761.53,0,0,0,물풀
283,81,-103.04,210.37,-740.69,0,0,0,물풀
284,81,76.6,210.37,-665.22,0,0,0,물풀
285,81,0.19,210.37,-714.52,0,0,0,물풀
286,81,467.31,210.37,-845.81,0,0,0,물풀
287,81,453.23,210.37,-979.98,0,0,0,물풀
288,81,471.44,210.37,-1071.52,0,0,0,물풀
289,81,563.79,210.37,-804.54,0,0,0,물풀
290,81,600.88,210.37,-702.69,0,0,0,물풀
291,81,702.05,210.37,-586.63,0,0,0,물풀
292,81,751.34,210.37,-451.76,0,0,0,물풀
293,81,677.83,210.37,-486.51,0,0,0,물풀
304,5,-716.7803,422.8875,571.04126,0,0,0,리자드맨
305,5,-351.8301,422.8875,340.55014,0,0,0,리자드맨
308,5,-958.89075,422.8875,-534.3682,0,0,0,리자드맨
309,5,-820.9118,422.8875,-409.0933,0,0,0,리자드맨
314,5,-918.1801,422.33527,377.65527,0,0,0,리자드맨
318,3,-2034.9103,336.6681,708.69324,0,0,0,인프로버크
319,3,-1846.4429,336.6681,503.84436,0,0,0,인프로버크
320,3,-1875.2778,336.6681,720.1697,0,0,0,인프로버크
323,3,-1688.2273,336.6681,599.73694,0,0,0,인프로버크
325,3,-1684.5856,336.6681,501.83163,0,0,0,인프로버크
328,3,-1862.8389,336.6681,623.18756,0,0,0,인프로버크
330,82,415.38928,277.9462,-470.11203,0,0,0,필드젠X
331,82,-974.66974,260.4169,-1148.0852,0,0,0,필드젠X
332,82,-758.9287,260.4169,-1093.5066,0,0,0,필드젠X
333,83,-1389.7288,325.941,-2182.0732,0,0,0,필드젠X
334,82,1446.0742,432.00143,1513.0082,0,0,0,필드젠X
335,71,-143.1651,244.1206,-961.5667,0,0,0,긴팔 나무
337,71,563.41626,210.3701,-726.9153,0,0,0,긴팔 나무
338,71,407.03918,210.95647,-1061.5221,0,0,0,긴팔 나무
339,71,-185.74628,244.1206,-1114.9108,0,0,0,긴팔 나무
343,76,1406.9896,370.2127,765.2156,0,0,0,리자드맨
344,76,1348.953,370.2127,375.37418,0,0,0,리자드맨
347,76,1557.552,370.2127,1006.7827,0,0,0,리자드맨
348,76,1172.9401,370.2127,957.92786,0,0,0,리자드맨
351,76,1255.7744,370.2127,645.76807,0,0,0,리자드맨
357,84,-1298.3033,296.7078,-1125.679,0,0,0,나무뿌리 수정
358,84,-1454.1824,325.941,-1766.5542,0,0,0,나무뿌리 수정
359,84,-1812.566,325.941,-1565.0402,0,0,0,나무뿌리 수정
360,84,-779.55414,260.4169,-1108.8359,0,0,0,나무뿌리 수정
361,84,-883.178,422.8875,-605.8395,0,0,0,나무뿌리 수정
362,84,-1020.5569,449.1763,-247.09256,0,0,0,나무뿌리 수정
363,84,-987.6138,449.1763,74.01392,0,0,0,나무뿌리 수정
364,84,-905.1103,422.70782,370.57205,0,0,0,나무뿌리 수정
365,84,-1849.2457,336.6681,641.02185,0,0,0,나무뿌리 수정
366,84,-1276.7385,414.81534,565.8949,0,0,0,나무뿌리 수정
367,84,-655.7267,422.8875,651.744,0,0,0,나무뿌리 수정
368,84,-324.7003,444.89145,1060.5682,0,0,0,나무뿌리 수정
369,84,138.97017,478.997,1147.502,0,0,0,나무뿌리 수정
370,84,214.05473,422.8875,556.2968,0,0,0,나무뿌리 수정
